iter	Passed	Remaining
638	4173	2357
639	4178	2350
640	4184	2343
641	4189	2336
642	4195	2329
643	4200	2322
644	4206	2315
645	4212	2308
646	4217	2301
647	4223	2294
648	4228	2287
649	4234	2279
650	4239	2272
651	4245	2265
652	4252	2259
653	4257	2252
654	4263	2245
655	4269	2238
656	4274	2231
657	4280	2224
658	4285	2217
659	4292	2211
660	4298	2204
661	4305	2198
662	4311	2191
663	4316	2184
664	4321	2177
665	4327	2170
666	4333	2163
667	4339	2156
668	4345	2150
669	4351	2143
670	4356	2135
671	4362	2129
672	4367	2122
673	4372	2114
674	4378	2108
675	4384	2101
676	4389	2094
677	4394	2087
678	4400	2080
679	4405	2073
680	4410	2066
681	4415	2059
682	4421	2051
683	4427	2045
684	4437	2040
685	4443	2033
686	4448	2026
687	4453	2019
688	4459	2012
689	4465	2006
690	4470	1999
691	4475	1992
692	4480	1985
693	4486	1978
694	4492	1971
695	4497	1964
696	4503	1957
697	4509	1951
698	4515	1944
699	4520	1937
700	4525	1930
701	4531	1923
702	4536	1916
703	4541	1909
704	4547	1902
705	4552	1895
706	4557	1888
707	4563	1882
708	4568	1875
709	4574	1868
710	4579	1861
711	4584	1854
712	4590	1847
713	4595	1840
714	4601	1834
715	4617	1831
716	4628	1826
717	4635	1820
718	4641	1813
719	4646	1806
720	4652	1800
721	4657	1793
722	4663	1786
723	4668	1779
724	4674	1772
725	4679	1766
726	4686	1759
727	4692	1753
728	4697	1746
729	4703	1739
730	4708	1732
731	4714	1726
732	4719	1719
733	4725	1712
734	4730	1705
735	4735	1698
736	4740	1691
737	4745	1684
738	4751	1678
739	4757	1671
740	4762	1664
741	4768	1657
742	4773	1651
743	4778	1644
744	4784	1637
745	4789	1630
746	4795	1624
747	4800	1617
748	4805	1610
749	4811	1603
750	4816	1596
751	4822	1590
752	4827	1583
753	4832	1576
754	4849	1573
755	4857	1567
756	4864	1561
757	4870	1555
758	4876	1548
759	4881	1541
760	4887	1534
761	4892	1528
762	4897	1521
763	4903	1514
764	4908	1507
765	4914	1501
766	4919	1494
767	4924	1487
768	4930	1480
769	4935	1474
770	4941	1467
771	4946	1460
772	4951	1454
773	4957	1447
774	4967	1442
775	4972	1435
776	4978	1428
777	4983	1421
778	4988	1415
779	4994	1408
780	4999	1401
781	5005	1395
782	5010	1388
783	5015	1381
784	5021	1375
785	5026	1368
786	5031	1361
787	5036	1355
788	5042	1348
789	5047	1341
790	5052	1335
791	5059	1328
792	5065	1322
793	5070	1315
794	5076	1309
795	5081	1302
796	5086	1295
797	5091	1288
798	5097	1282
799	5103	1275
800	5109	1269
801	5115	1262
802	5120	1256
803	5125	1249
804	5131	1242
805	5136	1236
806	5142	1229
807	5147	1223
808	5153	1216
809	5158	1210
810	5164	1203
811	5169	1196
812	5174	1190
813	5180	1183
814	5185	1177
815	5191	1170
816	5196	1164
817	5202	1157
818	5207	1150
819	5213	1144
820	5218	1137
821	5224	1131
822	5229	1124
823	5235	1118
824	5240	1111
825	5246	1105
826	5251	1098
827	5257	1092
828	5262	1085
829	5269	1079
830	5275	1072
831	5281	1066
832	5286	1059
833	5291	1053
834	5297	1046
835	5302	1040
836	5308	1033
837	5313	1027
838	5318	1020
839	5324	1014
840	5329	1007
841	5335	1001
842	5340	994
843	5345	988
844	5351	981
845	5357	975
846	5362	968
847	5367	962
848	5373	955
849	5379	949
850	5387	943
851	5392	936
852	5398	930
853	5403	923
854	5409	917
855	5414	910
856	5420	904
857	5425	897
858	5433	891
859	5439	885
860	5444	878
861	5451	872
862	5456	866
863	5462	859
864	5468	853
865	5473	847
866	5479	840
867	5484	834
868	5490	827
869	5495	821
870	5501	814
871	5506	808
872	5512	801
873	5517	795
874	5522	788
875	5528	782
876	5533	776
877	5539	769
878	5544	763
879	5549	756
880	5555	750
881	5560	743
882	5566	737
883	5594	734
884	5604	728
885	5612	722
886	5618	715
887	5623	709
888	5629	702
889	5634	696
890	5640	689
891	5645	683
892	5650	677
893	5656	670
894	5661	664
895	5667	657
896	5672	651
897	5678	644
898	5683	638
899	5689	632
900	5694	625
901	5700	619
902	5707	613
903	5713	606
904	5718	600
905	5724	593
906	5729	587
907	5735	581
908	5740	574
909	5745	568
910	5751	561
911	5756	555
912	5762	549
913	5767	542
914	5772	536
915	5781	530
916	5787	523
917	5792	517
918	5798	511
919	5803	504
920	5809	498
921	5815	491
922	5820	485
923	5827	479
924	5832	472
925	5839	466
926	5846	460
927	5851	454
928	5857	447
929	5862	441
930	5868	434
931	5873	428
932	5879	422
933	5884	415
934	5889	409
935	5895	403
936	5900	396
937	5906	390
938	5911	384
939	5917	377
940	5922	371
941	5928	365
942	5933	358
943	5938	352
944	5944	345
945	5949	339
946	5954	333
947	5960	326
948	5965	320
949	5971	314
950	5977	307
951	5982	301
952	5988	295
953	5993	288
954	5998	282
955	6004	276
956	6010	270
957	6015	263
958	6021	257
959	6026	251
960	6032	244
961	6037	238
962	6042	232
963	6048	225
964	6053	219
965	6059	213
966	6065	207
967	6072	200
968	6078	194
969	6085	188
970	6091	181
971	6097	175
972	6103	169
973	6109	163
974	6114	156
975	6120	150
976	6125	144
977	6133	137
978	6140	131
979	6146	125
980	6152	119
981	6161	112
982	6168	106
983	6175	100
984	6182	94
985	6187	87
986	6193	81
987	6198	75
988	6204	69
989	6209	62
990	6215	56
991	6221	50
992	6228	43
993	6233	37
994	6239	31
995	6244	25
996	6250	18
997	6255	12
998	6261	6
999	6266	0
